drug_name,conc,ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
quinidine,6474,173700,0.3992,NA,NA,NA,NA,10720,1.715,8781,1.41,NA,NA,397.7,1.31
quinidine,6474,34210,0.6657,NA,NA,NA,NA,13000,1.405,10010,1.273,NA,NA,349.8,0.95
quinidine,6474,61560,0.623,NA,NA,NA,NA,10250,1.919,8025,1.564,NA,NA,395.7,1.038
quinidine,6474,396200,0.3805,NA,NA,NA,NA,11100,1.699,9354,1.332,NA,NA,285.3,1.109
quinidine,6474,597000,0.3207,NA,NA,NA,NA,9743,1.788,10300,1.196,NA,NA,331.8,1.066
quinidine,6474,586100,0.3392,NA,NA,NA,NA,12660,1.425,8023,1.717,NA,NA,410.7,0.9523
quinidine,6474,341800,0.4192,NA,NA,NA,NA,11980,1.521,9253,1.464,NA,NA,316.8,0.9186
quinidine,6474,193400,0.4146,NA,NA,NA,NA,10750,1.643,10630,1.267,NA,NA,291.6,1.03
quinidine,6474,100900,0.4958,NA,NA,NA,NA,10320,1.721,9838,1.254,NA,NA,323.6,1.123
quinidine,6474,42890,0.6222,NA,NA,NA,NA,11970,1.508,11410,1.131,NA,NA,336.2,1.186
quinidine,6474,46370,0.5884,NA,NA,NA,NA,10340,1.78,9513,1.321,NA,NA,306.7,0.9604
quinidine,6474,49710,0.6226,NA,NA,NA,NA,14440,1.261,9965,1.202,NA,NA,259.2,1.113
quinidine,6474,55360,0.587,NA,NA,NA,NA,13760,1.32,10070,1.268,NA,NA,336.7,1.058
quinidine,6474,36130,0.647,NA,NA,NA,NA,13990,1.49,9752,1.318,NA,NA,276.2,1.155
quinidine,6474,62030,0.5278,NA,NA,NA,NA,11390,1.673,10690,1.094,NA,NA,374.9,1.32
quinidine,6474,61250,0.5565,NA,NA,NA,NA,10090,1.703,9261,1.321,NA,NA,362.5,0.8798
quinidine,6474,43000,0.6327,NA,NA,NA,NA,20240,1.04,9963,1.289,NA,NA,413.2,0.985
quinidine,6474,81450,0.5593,NA,NA,NA,NA,17900,1.088,12310,1.06,NA,NA,394,1.274
quinidine,6474,150300,0.4509,NA,NA,NA,NA,11020,1.878,9349,1.5,NA,NA,417.7,1.065
quinidine,6474,74470,0.5605,NA,NA,NA,NA,9525,2.238,8424,1.662,NA,NA,426.2,1.202
quinidine,6474,33430,0.7427,NA,NA,NA,NA,9880,2.162,9431,1.226,NA,NA,355.5,0.9956
quinidine,6474,30030,0.7722,NA,NA,NA,NA,10140,1.992,10060,1.172,NA,NA,362.4,0.9697
quinidine,6474,36660,0.6444,NA,NA,NA,NA,11920,1.461,7978,1.599,NA,NA,326.6,1.147
quinidine,6474,62190,0.5469,NA,NA,NA,NA,10560,1.878,8847,1.573,NA,NA,368,1.245
quinidine,6474,135100,0.4345,NA,NA,NA,NA,10630,1.919,8974,1.558,NA,NA,327.6,1.435
quinidine,6474,44570,0.5816,NA,NA,NA,NA,14050,1.646,7826,1.847,NA,NA,411.2,1.044
quinidine,6474,49970,0.578,NA,NA,NA,NA,11760,1.5,7948,1.776,NA,NA,299.5,1.193
quinidine,6474,60290,0.5677,NA,NA,NA,NA,13850,1.422,9422,1.321,NA,NA,487.8,1.031
quinidine,6474,47370,0.607,NA,NA,NA,NA,12810,1.589,9362,1.526,NA,NA,535.9,1.098
quinidine,6474,50320,0.5743,NA,NA,NA,NA,25200,0.9336,10890,1.21,NA,NA,366.2,1.527
quinidine,6474,38040,0.6402,NA,NA,NA,NA,13570,1.441,13040,0.9742,NA,NA,316.4,0.9759
quinidine,6474,39850,0.6336,NA,NA,NA,NA,16410,1.113,9909,1.243,NA,NA,350.9,0.9431
quinidine,6474,52680,0.5798,NA,NA,NA,NA,18010,1.2,8118,1.617,NA,NA,305.3,0.837
quinidine,6474,47800,0.5872,NA,NA,NA,NA,24730,0.924,11180,1.212,NA,NA,412.6,1.087
quinidine,6474,38890,0.6542,NA,NA,NA,NA,12530,1.554,8925,1.557,NA,NA,372.3,1.081
quinidine,6474,38400,0.6636,NA,NA,NA,NA,11830,1.513,9728,1.258,NA,NA,322.9,0.9767
quinidine,6474,43910,0.6161,NA,NA,NA,NA,11150,1.642,8707,1.568,NA,NA,405.2,0.9724
quinidine,6474,45980,0.6133,NA,NA,NA,NA,15120,1.342,7549,1.742,NA,NA,343.1,1.061
quinidine,6474,33990,0.689,NA,NA,NA,NA,10720,1.819,9245,1.398,NA,NA,329.4,1.051
quinidine,6474,32660,0.6786,NA,NA,NA,NA,20070,1.045,9182,1.331,NA,NA,368.9,1.128
quinidine,6474,57100,0.5445,NA,NA,NA,NA,10200,1.683,9679,1.378,NA,NA,347,1.044
quinidine,6474,65290,0.5386,NA,NA,NA,NA,13570,1.428,8001,1.607,NA,NA,378.7,1.131
quinidine,6474,106200,0.4737,NA,NA,NA,NA,10490,1.683,9704,1.334,NA,NA,324.2,1.07
quinidine,6474,31370,0.7106,NA,NA,NA,NA,9516,1.888,8675,1.318,NA,NA,356.6,0.9478
quinidine,6474,49360,0.5764,NA,NA,NA,NA,13490,1.409,8500,1.449,NA,NA,257.1,0.8521
quinidine,6474,37740,0.6765,NA,NA,NA,NA,12050,1.525,8847,1.345,NA,NA,173.4,0.5818
quinidine,6474,53450,0.5805,NA,NA,NA,NA,12660,1.465,9706,1.236,NA,NA,268.7,0.9368
quinidine,6474,92290,0.4783,NA,NA,NA,NA,9519,2.046,8914,1.547,NA,NA,243,0.9448
quinidine,6474,42720,0.6517,NA,NA,NA,NA,11050,1.756,8543,1.622,NA,NA,361.9,0.9404
quinidine,6474,48370,0.6128,NA,NA,NA,NA,11330,1.937,8966,1.414,NA,NA,255.1,0.8845
quinidine,6474,46480,0.6016,NA,NA,NA,NA,12830,1.536,15060,0.906,NA,NA,392.9,1.884
quinidine,6474,60450,0.5519,NA,NA,NA,NA,12320,1.766,10880,1.056,NA,NA,370.5,1.74
quinidine,6474,62540,0.5345,NA,NA,NA,NA,11840,1.721,10490,1.139,NA,NA,395.6,1.063
quinidine,6474,78730,0.5306,NA,NA,NA,NA,11430,1.646,9370,1.457,NA,NA,298.3,1.265
quinidine,6474,85840,0.5069,NA,NA,NA,NA,14750,1.384,9479,1.4,NA,NA,332,1.187
quinidine,6474,63780,0.5508,NA,NA,NA,NA,10710,1.651,9722,1.407,NA,NA,350.8,1.037
quinidine,6474,65370,0.5413,NA,NA,NA,NA,14740,1.29,8873,1.501,NA,NA,328.1,0.9924
quinidine,6474,88360,0.504,NA,NA,NA,NA,12020,1.462,9594,1.331,NA,NA,372.5,1.027
quinidine,6474,72680,0.5167,NA,NA,NA,NA,13880,1.282,9760,1.331,NA,NA,270.3,0.9422
quinidine,6474,49350,0.6116,NA,NA,NA,NA,12120,1.388,9547,1.237,NA,NA,341.3,1.15
quinidine,6474,71770,0.5607,NA,NA,NA,NA,12970,1.467,8570,1.432,NA,NA,322.8,0.8748
quinidine,6474,58150,0.5821,NA,NA,NA,NA,11620,1.706,9799,1.37,NA,NA,339.9,1.075
quinidine,6474,68640,0.5502,NA,NA,NA,NA,9908,1.902,10170,1.218,NA,NA,391.8,1.007
